Transaction_ID,Date,Sales_Rep,Branch_Code,Region,Product,Lead_Source,Customer_Segment,Customer_Age,Account_Tenure_Months,Revenue,Processing_Fee,Discount_Applied,Target_Achieved,CSAT_Score
TRX-10020,01-06-26 0:00,Sam,BR-002,West,Mortgage,Website,SME,58,23,14680.45,380.76,4.21,Yes,3
TRX-10021,30-05-26 0:00,Casey,BR-010,North,Credit Card,Email Campaign,High Net Worth,38,115,26144.82,439.9,10.94,Yes,5
TRX-10022,02-06-26 0:00,Jordan,BR-008,West,Auto Loan,Email Campaign,SME,70,64,37526.8,284.4,180.51,No,1
TRX-10023,24-12-25 0:00,Drew,BR-014,Central,Auto Loan,Email Campaign,Retail,25,87,41908.28,351.17,14.66,Yes,1
TRX-10024,12-04-26 0:00,Morgan,BR-002,North,Credit Card,Website,High Net Worth,73,43,35364.6,416.76,268.26,No,1
TRX-10025,21-04-26 0:00,Sam,BR-011,Central,Credit Card,Referral,SME,49,107,46465.55,167.3,45.63,Yes,3
TRX-10026,06-07-26 0:00,Sam,BR-013,South,Credit Card,Social Media,Corporate,59,23,37067.8,183.6,148,Yes,1
TRX-10027,11-11-25 0:00,Jordan,BR-005,North,Personal Loan,Referral,High Net Worth,54,96,15660.26,50.28,92.93,Yes,1
TRX-10028,01-07-26 0:00,Drew,BR-007,Central,Personal Loan,Walk-in,High Net Worth,63,30,13621.52,483.39,257.62,Yes,5
TRX-10029,05-06-26 0:00,Morgan,BR-008,South,Personal Loan,Email Campaign,Corporate,65,77,34961.53,462.9,140.09,Yes,3
TRX-10030,21-12-25 0:00,Casey,BR-001,West,Wealth Management,Referral,Retail,43,107,10047.09,394.06,80.36,No,3
TRX-10031,10-05-26 0:00,Alex,BR-006,South,Auto Loan,Social Media,Corporate,25,18,5089.38,85.58,15.26,Yes,1
TRX-10032,24-03-26 0:00,Morgan,BR-001,East,Auto Loan,Walk-in,High Net Worth,50,87,26845.03,251.38,219.81,Yes,3
TRX-10033,16-07-26 0:00,Jordan,BR-002,South,Mortgage,Website,Retail,26,79,41171.26,95.85,123.38,No,2
TRX-10034,21-08-25 0:00,Sam,BR-015,South,Personal Loan,Website,SME,66,97,5518.3,57.16,0.58,No,3
TRX-10035,13-11-25 0:00,Casey,BR-001,East,Wealth Management,Social Media,SME,64,21,39698.62,327.28,1.88,Yes,3
TRX-10036,30-08-25 0:00,Morgan,BR-011,Central,Wealth Management,Walk-in,SME,24,57,40672.81,482.37,161.76,Yes,3
TRX-10037,18-07-26 0:00,Alex,BR-005,Central,Auto Loan,Email Campaign,High Net Worth,49,103,24372.56,456.29,77.82,Yes,4
TRX-10038,21-08-25 0:00,Alex,BR-010,South,Personal Loan,Referral,Corporate,43,23,3336.86,363.54,127.23,No,4
TRX-10039,22-04-26 0:00,Taylor,BR-015,East,Mortgage,Walk-in,Retail,26,91,9142.2,93.49,90.84,No,4
TRX-10040,14-04-26 0:00,Taylor,BR-009,East,Personal Loan,Website,SME,52,45,35517.6,173.37,172.69,No,3
TRX-10041,01-02-26 0:00,Jamie,BR-006,West,Credit Card,Social Media,Retail,62,44,35733.01,194.03,183.39,No,2
TRX-10042,03-01-26 0:00,Jordan,BR-011,Central,Personal Loan,Social Media,High Net Worth,38,82,44968.59,393.42,299.04,Yes,3
TRX-10043,20-12-25 0:00,Drew,BR-011,North,Credit Card,Referral,SME,35,88,29342.96,411.01,30.74,No,1
TRX-10044,20-03-26 0:00,Morgan,BR-001,Central,Credit Card,Social Media,High Net Worth,60,115,6643.31,223.3,258.88,Yes,2
TRX-10045,28-02-26 0:00,Morgan,BR-013,Central,Mortgage,Social Media,Corporate,52,47,6510.04,238.05,53.2,Yes,4
TRX-10046,01-02-26 0:00,Drew,BR-001,West,Auto Loan,Walk-in,High Net Worth,29,40,36196.05,70.03,177.24,Yes,5
TRX-10047,02-01-26 0:00,Jamie,BR-002,North,Personal Loan,Email Campaign,High Net Worth,57,51,9597.34,180.11,151.73,No,2
TRX-10048,09-12-25 0:00,Sam,BR-009,West,Credit Card,Referral,Corporate,30,42,16755.08,253.08,3.6,No,4
TRX-10049,13-05-26 0:00,Sam,BR-003,North,Personal Loan,Walk-in,Retail,40,7,24616.99,102.64,186.55,Yes,2
TRX-10050,29-11-25 0:00,Jamie,BR-015,South,Auto Loan,Email Campaign,Corporate,26,50,1725.86,253.97,15.67,No,2
TRX-10051,14-09-25 0:00,Sam,BR-001,North,Auto Loan,Walk-in,Corporate,68,48,12816.54,433.93,137.64,No,3
TRX-10052,05-03-26 0:00,Taylor,BR-005,West,Wealth Management,Walk-in,High Net Worth,23,84,20690.54,311.59,235.5,Yes,1
TRX-10053,07-05-26 0:00,Morgan,BR-007,Central,Auto Loan,Social Media,Retail,62,91,14342,85.52,159.06,Yes,5
TRX-10054,04-09-25 0:00,Jamie,BR-006,North,Mortgage,Email Campaign,SME,31,6,7250.33,136.25,27.1,No,4
TRX-10055,12-10-25 0:00,Morgan,BR-012,North,Credit Card,Referral,Corporate,63,91,36536.61,263.54,89.51,Yes,2
TRX-10056,13-08-25 0:00,Drew,BR-001,East,Wealth Management,Referral,Retail,37,9,40750.81,212.67,165.89,Yes,5
TRX-10057,02-08-25 0:00,Alex,BR-005,Central,Mortgage,Email Campaign,Corporate,52,117,13245.21,211.43,60.54,No,2
TRX-10058,18-07-26 0:00,Taylor,BR-015,South,Personal Loan,Social Media,Corporate,24,109,38833.76,288.17,93.55,No,1
TRX-10059,11-10-25 0:00,Casey,BR-005,West,Credit Card,Website,Corporate,24,57,19584.9,312.98,54.56,No,5
TRX-10060,11-07-26 0:00,Taylor,BR-006,South,Auto Loan,Walk-in,Corporate,37,31,25580.95,408.59,92.71,No,4
TRX-10061,03-03-26 0:00,Jamie,BR-003,Central,Credit Card,Social Media,High Net Worth,61,21,42872.05,203.43,266.36,Yes,2
TRX-10062,22-07-26 0:00,Casey,BR-005,North,Personal Loan,Email Campaign,Retail,39,90,37622.71,412.46,91.02,Yes,1
TRX-10063,17-10-25 0:00,Alex,BR-007,North,Wealth Management,Walk-in,Retail,25,40,40353.28,202.38,111.18,Yes,5
TRX-10064,20-01-26 0:00,Jamie,BR-005,Central,Wealth Management,Referral,Retail,52,112,7273.84,74.94,80.8,Yes,2
TRX-10065,18-05-26 0:00,Jordan,BR-005,North,Wealth Management,Website,Corporate,42,45,3951.11,299.38,92.02,No,2
TRX-10066,15-03-26 0:00,Morgan,BR-005,North,Auto Loan,Referral,High Net Worth,26,77,44723.53,314.56,4.54,Yes,4
TRX-10067,09-12-25 0:00,Alex,BR-010,North,Mortgage,Email Campaign,Corporate,55,49,19697.8,470.54,56.75,Yes,1
TRX-10068,26-03-26 0:00,Morgan,BR-010,West,Mortgage,Walk-in,Corporate,42,87,14750.04,376.73,87.32,Yes,3
TRX-10069,08-03-26 0:00,Sam,BR-003,West,Credit Card,Email Campaign,Retail,21,20,36372.46,463,126.76,No,2
TRX-10070,12-06-26 0:00,Jordan,BR-001,East,Auto Loan,Walk-in,Corporate,40,101,41902.57,458.76,90.01,Yes,5
TRX-10071,22-09-25 0:00,Jordan,BR-005,South,Wealth Management,Social Media,SME,42,118,43193.24,322.06,67.56,Yes,4
TRX-10072,23-12-25 0:00,Alex,BR-014,Central,Wealth Management,Website,Corporate,68,117,16141.86,287.49,77.62,Yes,4
TRX-10073,09-03-26 0:00,Jordan,BR-009,Central,Personal Loan,Social Media,SME,31,92,42684.51,300.85,48.46,No,2
TRX-10074,27-11-25 0:00,Casey,BR-014,Central,Personal Loan,Social Media,Corporate,33,17,2526.23,490.25,184.9,Yes,2
TRX-10075,26-02-26 0:00,Jordan,BR-001,East,Wealth Management,Email Campaign,High Net Worth,62,28,2958.24,397.93,156.52,Yes,2
TRX-10076,30-04-26 0:00,Morgan,BR-003,West,Wealth Management,Website,High Net Worth,23,41,31364.2,97.82,4.02,Yes,3
TRX-10077,10-08-25 0:00,Morgan,BR-013,East,Auto Loan,Walk-in,Retail,29,66,3623.77,400.29,3.89,No,2
TRX-10078,05-05-26 0:00,Jamie,BR-013,Central,Mortgage,Walk-in,Corporate,32,25,16568.15,126.74,194.59,Yes,1
TRX-10079,13-07-26 0:00,Morgan,BR-004,South,Personal Loan,Referral,SME,43,58,33801.42,251.31,44.29,Yes,5
TRX-10080,11-05-26 0:00,Jamie,BR-014,North,Mortgage,Walk-in,SME,34,114,17194.71,144.71,161.12,Yes,2
TRX-10081,06-06-26 0:00,Morgan,BR-001,West,Auto Loan,Email Campaign,Corporate,53,41,9390.19,360.31,11.66,Yes,3
TRX-10082,21-07-26 0:00,Casey,BR-001,West,Wealth Management,Social Media,SME,38,6,14426.86,444.79,184.23,No,5
TRX-10083,19-04-26 0:00,Drew,BR-008,East,Mortgage,Social Media,High Net Worth,69,75,23149.98,180.66,262.32,Yes,4
TRX-10084,19-02-26 0:00,Jamie,BR-002,West,Wealth Management,Social Media,SME,61,38,24031.6,86.9,114.22,No,2
TRX-10085,08-04-26 0:00,Taylor,BR-012,Central,Wealth Management,Website,Retail,29,6,39258.51,184.32,1.8,No,5
TRX-10086,15-04-26 0:00,Sam,BR-015,Central,Credit Card,Walk-in,High Net Worth,43,45,37632.58,352.56,77.34,Yes,4
TRX-10087,23-10-25 0:00,Alex,BR-008,East,Mortgage,Email Campaign,High Net Worth,30,75,23112.48,197.94,122.04,No,3
TRX-10088,12-05-26 0:00,Morgan,BR-007,Central,Mortgage,Website,High Net Worth,39,14,42360.53,175.15,138.02,No,1
TRX-10089,28-10-25 0:00,Jordan,BR-010,South,Wealth Management,Referral,Corporate,67,66,6154.74,133,59.54,No,2
TRX-10090,26-10-25 0:00,Drew,BR-010,East,Auto Loan,Email Campaign,Corporate,25,40,13139.99,273.88,6.59,Yes,1
TRX-10091,06-05-26 0:00,Morgan,BR-002,South,Credit Card,Email Campaign,High Net Worth,67,3,41484.83,174.18,177.04,Yes,3
TRX-10092,09-01-26 0:00,Jordan,BR-006,North,Wealth Management,Email Campaign,Corporate,72,119,19210.7,378.95,104.83,Yes,5
TRX-10093,10-01-26 0:00,Sam,BR-006,South,Personal Loan,Social Media,SME,43,117,49068.49,84.48,56.6,No,5
TRX-10094,19-09-25 0:00,Sam,BR-003,North,Personal Loan,Email Campaign,Corporate,50,99,23579.54,348.81,7.6,Yes,3
TRX-10095,09-01-26 0:00,Sam,BR-011,North,Credit Card,Walk-in,Corporate,45,97,39700.81,156.9,198.92,Yes,3
TRX-10096,10-11-25 0:00,Jordan,BR-002,South,Auto Loan,Email Campaign,High Net Worth,48,24,20414.2,270.18,144.6,Yes,2
TRX-10097,16-01-26 0:00,Morgan,BR-012,East,Wealth Management,Social Media,Retail,54,19,21535.2,178.74,151.2,Yes,4
TRX-10098,03-02-26 0:00,Sam,BR-001,Central,Mortgage,Email Campaign,Retail,65,18,19452.72,375.25,90.46,Yes,1
TRX-10099,23-11-25 0:00,Casey,BR-006,Central,Credit Card,Referral,Retail,68,64,36094.24,475.39,8.63,Yes,1
TRX-10100,24-04-26 0:00,Jamie,BR-012,North,Auto Loan,Referral,SME,67,113,27602.14,462.68,61.92,Yes,5
TRX-10101,25-07-26 0:00,Jordan,BR-005,North,Mortgage,Social Media,Corporate,45,116,47217.02,312.54,64.02,No,5
TRX-10102,08-01-26 0:00,Jordan,BR-014,East,Personal Loan,Walk-in,Retail,30,88,12919.07,258.17,167.67,Yes,2
TRX-10103,27-01-26 0:00,Morgan,BR-014,West,Personal Loan,Walk-in,High Net Worth,34,109,5477.86,418.24,196.27,No,3
TRX-10104,18-06-26 0:00,Jordan,BR-011,South,Mortgage,Website,Retail,62,35,19966.44,357.5,55.09,Yes,1
TRX-10105,14-12-25 0:00,Jordan,BR-009,North,Credit Card,Social Media,Retail,66,62,31027.28,132.6,193.55,Yes,2
TRX-10106,18-11-25 0:00,Sam,BR-001,Central,Personal Loan,Email Campaign,Corporate,50,1,43109.55,419.41,64.31,No,5
TRX-10107,14-02-26 0:00,Morgan,BR-015,East,Wealth Management,Social Media,Corporate,61,100,17636.75,243,199.65,No,5
TRX-10108,18-10-25 0:00,Sam,BR-015,South,Mortgage,Website,Corporate,45,25,32862.44,135.04,199.23,Yes,1
TRX-10109,10-11-25 0:00,Jamie,BR-007,East,Mortgage,Social Media,SME,34,45,17834.83,176.81,38.24,No,5
TRX-10110,10-09-25 0:00,Drew,BR-015,South,Personal Loan,Social Media,SME,55,49,31052.37,170.39,62.55,No,5
TRX-10111,21-04-26 0:00,Jamie,BR-005,South,Credit Card,Website,Retail,72,107,44297.99,283.64,97.21,No,4
TRX-10112,04-12-25 0:00,Drew,BR-005,North,Wealth Management,Walk-in,Corporate,68,98,11952.2,155.47,132.82,Yes,3
TRX-10113,05-11-25 0:00,Sam,BR-014,East,Credit Card,Email Campaign,Retail,54,89,20509.96,105.6,105.61,Yes,5
TRX-10114,20-10-25 0:00,Jamie,BR-002,East,Auto Loan,Website,High Net Worth,30,16,49666.63,105.66,290.83,Yes,4
TRX-10115,11-10-25 0:00,Morgan,BR-011,Central,Auto Loan,Referral,High Net Worth,55,98,43493.57,312.47,217.2,No,2
TRX-10116,19-06-26 0:00,Alex,BR-003,Central,Personal Loan,Walk-in,Corporate,31,93,28449.67,380.64,42.41,Yes,5
TRX-10117,09-11-25 0:00,Sam,BR-007,North,Personal Loan,Referral,Corporate,31,19,26073.07,194.69,21.02,No,2
TRX-10118,03-12-25 0:00,Drew,BR-006,North,Personal Loan,Walk-in,High Net Worth,41,23,14587.72,65.59,206.52,Yes,5
TRX-10119,11-12-25 0:00,Casey,BR-012,West,Auto Loan,Email Campaign,Corporate,41,83,26101.87,107.25,31.69,Yes,1
TRX-10120,26-03-26 0:00,Drew,BR-002,Central,Credit Card,Email Campaign,SME,42,25,42484.98,461.61,157.54,Yes,4
TRX-10121,21-12-25 0:00,Casey,BR-006,South,Credit Card,Social Media,SME,65,16,34416.14,272.09,62.21,No,4
TRX-10122,21-06-26 0:00,Jordan,BR-002,East,Personal Loan,Referral,Corporate,27,54,14857.18,254.11,65.38,Yes,1
TRX-10123,05-07-26 0:00,Jamie,BR-002,North,Wealth Management,Walk-in,High Net Worth,37,115,10472.46,67.12,3.24,No,3
TRX-10124,25-08-25 0:00,Casey,BR-002,East,Credit Card,Email Campaign,Retail,22,73,13627.82,377.89,140.2,Yes,4
TRX-10125,11-09-25 0:00,Drew,BR-014,East,Auto Loan,Website,Corporate,32,1,8903.08,287.63,22.65,No,2
TRX-10126,22-05-26 0:00,Jordan,BR-015,West,Mortgage,Email Campaign,Corporate,62,42,5234.21,140.94,154.58,No,4
TRX-10127,20-01-26 0:00,Alex,BR-011,Central,Mortgage,Website,Retail,38,19,21247.24,99.53,98.37,No,3
TRX-10128,07-05-26 0:00,Morgan,BR-003,North,Mortgage,Walk-in,Corporate,74,97,6108.33,222.52,156.86,No,2
TRX-10129,15-09-25 0:00,Morgan,BR-015,East,Wealth Management,Email Campaign,Retail,31,34,9009.67,426.72,116.79,Yes,2
TRX-10130,11-04-26 0:00,Morgan,BR-002,North,Personal Loan,Email Campaign,High Net Worth,36,80,27592.57,439.38,24.74,Yes,1
TRX-10131,25-08-25 0:00,Casey,BR-004,South,Auto Loan,Walk-in,SME,69,108,8647.66,321.28,153.13,Yes,5
TRX-10132,17-09-25 0:00,Alex,BR-009,West,Wealth Management,Email Campaign,High Net Worth,71,104,3662.05,377.39,20.94,Yes,1
TRX-10133,04-11-25 0:00,Casey,BR-006,South,Auto Loan,Website,SME,38,55,16210.75,101.82,95.74,No,5
TRX-10134,11-02-26 0:00,Jamie,BR-001,North,Auto Loan,Email Campaign,Retail,55,18,11405.8,314.66,34.47,Yes,1
TRX-10135,19-08-25 0:00,Casey,BR-008,North,Personal Loan,Referral,SME,73,34,26007.61,350.13,150.47,Yes,5
TRX-10136,03-09-25 0:00,Alex,BR-015,Central,Mortgage,Social Media,High Net Worth,46,89,5567.17,140.32,273.48,Yes,4
TRX-10137,30-09-25 0:00,Alex,BR-012,East,Personal Loan,Website,SME,36,45,37712.65,446.07,110.83,Yes,2
TRX-10138,05-04-26 0:00,Jamie,BR-014,East,Wealth Management,Referral,Retail,26,6,45358.56,137.75,105.43,Yes,5
TRX-10139,14-10-25 0:00,Alex,BR-007,South,Wealth Management,Walk-in,SME,64,21,37300.04,191.06,152.79,No,4
TRX-10140,22-07-26 0:00,Drew,BR-010,West,Wealth Management,Website,Corporate,63,70,26874.94,329.25,1.02,Yes,3
TRX-10141,02-02-26 0:00,Alex,BR-003,East,Personal Loan,Social Media,High Net Worth,67,96,43103.06,337.26,275.33,Yes,1
TRX-10142,19-05-26 0:00,Morgan,BR-001,Central,Auto Loan,Social Media,Corporate,67,105,34898.46,364.72,39.49,Yes,3
TRX-10143,11-02-26 0:00,Drew,BR-005,South,Auto Loan,Walk-in,Retail,68,48,1022.28,100.41,196.82,No,4
TRX-10144,23-12-25 0:00,Drew,BR-013,South,Credit Card,Walk-in,SME,62,107,20007.46,432.26,147.25,Yes,3
TRX-10145,19-04-26 0:00,Jamie,BR-004,Central,Wealth Management,Website,Corporate,32,39,42622.12,289.78,154.85,No,3
TRX-10146,20-04-26 0:00,Taylor,BR-010,West,Auto Loan,Email Campaign,Corporate,33,31,17620.01,262.09,131.24,Yes,4
TRX-10147,23-10-25 0:00,Taylor,BR-008,Central,Credit Card,Walk-in,SME,24,106,2243.15,491.49,94.33,Yes,2
TRX-10148,23-02-26 0:00,Alex,BR-001,West,Auto Loan,Email Campaign,SME,59,10,37435.89,383.17,114.33,Yes,5
TRX-10149,06-07-26 0:00,Drew,BR-010,Central,Wealth Management,Referral,High Net Worth,74,30,40200.89,103.1,13.92,Yes,1
TRX-10150,18-01-26 0:00,Taylor,BR-001,Central,Mortgage,Social Media,Corporate,22,116,8449.39,390.44,124.79,No,5
TRX-10151,23-05-26 0:00,Taylor,BR-012,North,Wealth Management,Email Campaign,Corporate,46,18,27098.35,92.86,125.22,Yes,1
TRX-10152,29-09-25 0:00,Alex,BR-004,South,Personal Loan,Social Media,Retail,47,60,10001.79,62.36,178.24,Yes,5
TRX-10153,20-09-25 0:00,Taylor,BR-008,Central,Auto Loan,Email Campaign,High Net Worth,47,88,36102.1,231.63,151.7,No,3
TRX-10154,17-06-26 0:00,Casey,BR-005,Central,Auto Loan,Referral,Retail,35,116,13941.75,497.11,15.43,Yes,2
TRX-10155,21-01-26 0:00,Jordan,BR-002,East,Personal Loan,Walk-in,Corporate,28,73,16152.65,128.7,61.24,Yes,3
TRX-10156,15-09-25 0:00,Jamie,BR-006,South,Personal Loan,Referral,Retail,27,95,42326.06,352.69,131.13,No,2
TRX-10157,09-01-26 0:00,Jordan,BR-005,East,Mortgage,Walk-in,Corporate,67,15,24077.96,128.03,47.85,Yes,4
TRX-10158,16-12-25 0:00,Alex,BR-002,South,Auto Loan,Walk-in,Corporate,66,4,33652.85,376.15,56.11,No,1
TRX-10159,27-10-25 0:00,Morgan,BR-013,East,Auto Loan,Social Media,Retail,60,63,20417.47,277.41,164.09,Yes,1
TRX-10160,29-09-25 0:00,Jamie,BR-014,Central,Mortgage,Referral,Retail,32,40,15251.34,355.99,116.86,No,4
TRX-10161,13-06-26 0:00,Alex,BR-011,Central,Credit Card,Email Campaign,SME,33,9,31461.16,141.29,101.71,Yes,5
TRX-10162,27-01-26 0:00,Drew,BR-011,North,Mortgage,Referral,SME,63,109,8165.45,385.53,63.69,No,4
TRX-10163,18-08-25 0:00,Morgan,BR-011,East,Wealth Management,Social Media,SME,37,9,18963.49,498.03,146.19,Yes,4
TRX-10164,19-11-25 0:00,Jordan,BR-003,West,Auto Loan,Walk-in,Corporate,37,26,10847.33,349.54,57.54,No,2
TRX-10165,15-03-26 0:00,Alex,BR-015,North,Personal Loan,Social Media,Retail,56,4,34941.85,272.07,147.41,Yes,4
TRX-10166,03-01-26 0:00,Drew,BR-009,East,Wealth Management,Website,High Net Worth,41,81,47238.34,465.43,21.03,Yes,1
TRX-10167,11-02-26 0:00,Jamie,BR-007,East,Auto Loan,Website,Corporate,28,16,49777.79,57.13,172.91,Yes,3
TRX-10168,24-12-25 0:00,Jamie,BR-007,North,Mortgage,Email Campaign,High Net Worth,25,15,22788.7,378.47,149.86,No,2
TRX-10169,17-11-25 0:00,Sam,BR-015,Central,Wealth Management,Social Media,Retail,46,99,13000.25,449.94,87.7,No,2
TRX-10170,23-05-26 0:00,Drew,BR-011,East,Auto Loan,Email Campaign,Corporate,36,52,22420.05,77.75,122.2,Yes,5
TRX-10171,28-07-26 0:00,Casey,BR-006,Central,Credit Card,Email Campaign,High Net Worth,56,69,42439.84,252.53,187.26,Yes,3
TRX-10172,29-10-25 0:00,Taylor,BR-008,North,Credit Card,Website,High Net Worth,48,119,10697.28,142.12,39.62,No,2
TRX-10173,18-09-25 0:00,Morgan,BR-004,Central,Personal Loan,Email Campaign,SME,74,5,47628.73,304.93,151.25,Yes,4
TRX-10174,01-12-25 0:00,Drew,BR-008,South,Auto Loan,Website,SME,49,20,17422.36,342.29,55.19,No,2
TRX-10175,02-09-25 0:00,Sam,BR-004,West,Credit Card,Walk-in,SME,67,79,49297.28,186.18,180.99,Yes,2
TRX-10176,13-05-26 0:00,Taylor,BR-008,East,Mortgage,Social Media,Corporate,32,18,42011.14,256.99,163.57,No,2
TRX-10177,27-10-25 0:00,Taylor,BR-009,West,Auto Loan,Email Campaign,Retail,57,111,40524.24,175.7,69.25,Yes,5
TRX-10178,17-06-26 0:00,Alex,BR-003,Central,Mortgage,Website,Retail,50,2,16236.28,216.23,161.55,Yes,2
TRX-10179,12-02-26 0:00,Taylor,BR-003,East,Mortgage,Referral,SME,43,93,934.47,121.79,71.28,No,2
TRX-10180,26-10-25 0:00,Casey,BR-011,Central,Credit Card,Email Campaign,SME,36,13,19415.58,448.5,20.19,No,5
TRX-10181,22-08-25 0:00,Jamie,BR-013,South,Auto Loan,Walk-in,SME,34,4,15439.56,54.5,192.38,No,3
TRX-10182,23-05-26 0:00,Sam,BR-002,North,Wealth Management,Walk-in,High Net Worth,30,42,2351.15,447.08,195.78,Yes,1
TRX-10183,16-04-26 0:00,Taylor,BR-013,East,Credit Card,Referral,SME,27,109,25515.58,307.26,91.22,Yes,5
TRX-10184,20-10-25 0:00,Alex,BR-010,South,Credit Card,Website,High Net Worth,65,74,20450.05,199.25,119.32,Yes,5
TRX-10185,31-07-26 0:00,Casey,BR-003,South,Auto Loan,Email Campaign,Retail,72,61,31910.55,375.38,64.94,No,2
TRX-10186,16-07-26 0:00,Jordan,BR-003,East,Auto Loan,Website,Corporate,57,95,31248.72,278.49,196.29,Yes,2
TRX-10187,11-05-26 0:00,Jamie,BR-005,Central,Mortgage,Walk-in,Corporate,49,105,6476.96,274.6,26.95,Yes,1
TRX-10188,24-06-26 0:00,Jamie,BR-005,South,Auto Loan,Website,Corporate,23,8,48859.79,99.56,62.96,Yes,2
TRX-10189,24-10-25 0:00,Sam,BR-002,West,Mortgage,Walk-in,Corporate,35,67,9753.11,225.28,97.1,Yes,4
TRX-10190,07-08-25 0:00,Jamie,BR-012,South,Credit Card,Website,High Net Worth,56,112,22541.06,158.48,143.4,No,2
TRX-10191,14-11-25 0:00,Taylor,BR-010,Central,Personal Loan,Referral,High Net Worth,67,63,24661.82,57.06,141.4,Yes,2
TRX-10192,26-06-26 0:00,Alex,BR-013,Central,Wealth Management,Social Media,SME,66,110,40746.61,212.04,35.16,Yes,4
TRX-10193,23-10-25 0:00,Jamie,BR-006,West,Credit Card,Referral,High Net Worth,72,9,5411.87,90.42,43.48,Yes,1
TRX-10194,27-01-26 0:00,Jamie,BR-005,South,Auto Loan,Referral,SME,39,94,21717.89,165.57,50.95,Yes,4
TRX-10195,18-10-25 0:00,Jordan,BR-006,Central,Wealth Management,Social Media,SME,33,117,31610.86,91.63,182.91,Yes,5
TRX-10196,10-01-26 0:00,Jordan,BR-001,East,Personal Loan,Social Media,Corporate,62,11,11150.2,95.42,22.61,Yes,4
TRX-10197,18-12-25 0:00,Morgan,BR-005,North,Personal Loan,Email Campaign,High Net Worth,41,99,31559.66,139.56,227.24,No,3
TRX-10198,30-01-26 0:00,Casey,BR-009,North,Mortgage,Email Campaign,High Net Worth,57,101,46221.41,499.93,227.26,Yes,5
TRX-10199,10-04-26 0:00,Taylor,BR-012,North,Wealth Management,Referral,SME,47,42,49877.15,50.98,161.95,Yes,2
TRX-10200,31-10-25 0:00,Jamie,BR-010,South,Mortgage,Referral,SME,72,13,2106.33,337.4,177.32,Yes,5
TRX-10201,17-06-26 0:00,Drew,BR-014,West,Credit Card,Walk-in,Retail,49,36,12161.62,113.56,52.61,No,1
TRX-10202,17-04-26 0:00,Jamie,BR-002,Central,Wealth Management,Walk-in,Retail,40,13,15860.2,464.28,44.91,Yes,1
TRX-10203,14-02-26 0:00,Alex,BR-001,East,Credit Card,Email Campaign,SME,45,12,20256.74,92.13,93.1,No,4
